name,image,class,subclass,tags,durability,strength,range,arrows,defense,defense_upgrade_lvl1,defense_upgrade_lvl2,defense_upgrade_lvl3,defense_upgrade_lvl4,bonus,description,selling_price,bonus_set,upgrade_1,upgrade_2,upgrade_3,upgrade_4,armor_upgrade,where_to_find,notes
Spiked Boko Club,BotW_Spiked_Boko_Club_Icon.png?version=ace125cb6582c41b6e99a39429e4b266 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/zivy4NexJ3vLO_vLfHRlRg/nA68aNHmU-Lh2ZXPTOuyTUC-NOBwB1h6Lpui8HLx40BfNKZXaTOvlumGhRxa3RlRZ0ABPcJnufsfXYOFmHayg2nnFtA0P08cdXuG-vZDwYvRjgOLvm5Oh2gbbTC12tBj/km_yMuHZntE5yCmHYRbrhbOg_yvbNAKjEtcBYNlSTxI),Weapon,Light,,14,12,,,,,,,,,A reinforced Bokoblin club made to maximize damage. The sharpened bones jabbed into it make it a brutal weapon.,,,,,,,,,
Spring-Loaded Hammer,BotW_Spring-Loaded_Hammer_Icon.png?version=65d5ee542164fa03bb0d1b59192fd0cd (https://v5.airtableusercontent.com/v1/18/18/1686708000000/SD8rOHiP2EKo0xRFRgkM6w/q4x7w1dm5DTgfJnnevXxPRhfJpRDSBOHNe5EEuyj8FPBV6vbdcWMcH-YZ2CHYYmKuHF-Lq4cFY0IxPzOAvnX3G5vlT0tt2hnuIeIJIBgis5k2sVTGs4eULBxWZyKWs_1fjQ2GuYpWhvGBDQtdZub0A/E7N27oESw4Vp8T3HZFfFO5_evpYESJACbHrhJWf302U),Weapon,Light,,80,1,,,,,,,,,"This strange hammer is one of Kilton's specialties. Being struck by it doesn't hurt much, but the fourth swing in a string of attacks will send the victim flying.",,,,,,,,,
Sword,BotW_Sword_Icon.png?version=5695e3e809597b52e183a9d4de4b9da1 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/8CzduRnDNhAHdGtCGGsLTA/RDgnlikV2rtwZdlB2RhNbHn8JkSOYDYooLXzC10-laUu9V4uFnpqWQGbH0OcaYInpy5-_99C0VMcAGbZ0UMahqrA_rq5yNzzF9XK0wRAugPqoy1l8ETZ_UaDmEn9j-UT/tKspjaO__xRFdqPrERf-xlAFSdSzvfVznzPDQPElvUo),Weapon,Light,,27,22,,,,,,,,,"A sword once wielded by a hero in an ancient age. When grasped, a strange sense of nostalgia washes over you. Take it when going alone would otherwise be dangerous.",,,,,,,,,
Thunderblade,BotW_Thunderblade_Icon.png?version=aa49cf3bc603ecaa73512b3c88923c33 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/g2jsUr0T-BsOz-xOcpBNIQ/GSx14iY_pRw9u7Y2mPExXRVUu1jEvUi3yLWd7KR2JXmGJkGmA6L8lfUEF3c6lu5KeJ9y6Z1l84fzkM62Ap78-URIytiYncP3WOm3EceqLRQ4Pbe1Nf9c_I1xUx58FMcv/7e1OtmgPEwVHfBkluJ0yOlWELtMm4LgResWsqt0jBrQ),Weapon,Light,,36,22,,,,,,,,,"A magical sword forged and refined by lightning from the Hyrule Hills. When the blade shines with a golden light, it will electrocute enemies struck by it.",,,,,,,,,
Thunderstorm Rod,BotW_Thunderstorm_Rod_Icon.png?version=5672a56eca0fa8e4eed4402169ee7935 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/zvj8D1ZCD-vT-1bXitCtIQ/lNI5-riBhVXhLb8ogLLf1Nu9i6e0SxkLfDvdnF1PIlGwGWYpchWeS9WaepuElqDR0rTlXtY5b-NNj3ejK1F10P1VKK4d8E7tzcCynLaNPyA6W-LGWmoP5VCDi2FdL_90/Tq-HrATqdV41fipCeTgf3yNROXDCPKmeVEltj72G4sg),Weapon,Light,,32,10,,,,,,,,,"A magical rod that can hurl three balls of electricity at once. Its gem contains electricity from the Hyrule Hills, and the rod will break when that electricity runs out.",,,,,,,,,
Torch,BotW_Torch_Icon.png?version=f50b8e0346a6b03bcd240ef643b1a926 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/IAvNRzwUhr5sCn992bufQg/8BCP1fa4hHulH9rwHI3m91p-8rkJR8GMicfIWWH0xn81J8DHJxVzPk1Vf1bgWOsADye-TEP4BuoCBoEX-EaWmA8FcsResy89d6ZqEJ5cYAxbifFmAHNUDRinWb4WEdCa/ZlTqJHzQtCECY4blC60kFYE0BetHMbQVzJ2AFl5iUvU),Weapon,Light,,8,2,,,,,,,,,"This torch will stay lit once ignited. If you put it away, the flame will be extinguished until you light it again.",,,,,,,,,
Traveler's Sword,BotW_Traveler%27s_Sword_Icon.png?version=f6f5303a0ce68188aba07b8a8f90fdfc (https://v5.airtableusercontent.com/v1/18/18/1686708000000/3H9tmT8Ttwgryzi2mZN8pg/WqytR9uBNNvu6XyzFqzb5sCTpBo8yvVETiE8sQfBRchvLpiOKKQsExjdSjIIkJMfaM8ynGvtUcHidDFhG-mpu8yyk5gL4xpNzDE8lNSTXDVbvR0GPdmA57HApyLWUJ3Q/TbQ0ywdxfVmNYvNgNqbmpy27X6WrUohq-RKfbPg31Jk),Weapon,Light,,20,5,,,,,,,,,"A very common sword often kept by travelers to fend off small beasts. It's fairly durable, but a bit unreliable against monsters.",,,,,,,,,
Tree Branch,BotW_Tree_Branch_Icon.png?version=8be33a6c8bc983d1998baf0fbb99ff63 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/H4xjFP2VvgjSWEmqpsDn-g/66deNOMdZok--qo1dF7KnvHmquGHuNStrDNwVqmx3kK0EyFOwYEndpF-oSn68wRB7av2hkaPvXXCWd79EL9oaIgk5MWCrsyCcCm4H7PNPE3KyT2oRLcg6OJvgHDsSDeX/iM-4_002XczhKnppljltKJBvWddz-0bh456y7fP5TDo),Weapon,Light,,4,2,,,,,,,,,"Wooden branches such as this are pretty common, but it's surprisingly well-balanced. It doesn't do much damage but can serve as a weapon in a pinch.",,,,,,,,,
Vicious Sickle,BotW_Vicious_Sickle_Icon.png?version=2a2c8746121c25a24218bdd05dc25c16 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/J7HYsZYSU7OMVkUZ3RgwGw/6LKVtTA8BjMeZoaOqyB3L93OToE835-9otyb0o8PpfBtZ2CB4jluXSUZvIk77vPRDwfdzYU-kyOy-EZOtutiPkFjEvfCHBFK-72lfWqGvli7wZ6Xka8w3OB-Z684YQyO/iZRq3MVJJ8l9fib-SPSgpq4AW33y1A970_yH7Yh1tEU),Weapon,Light,,14,16,,,,,,,,,A grim weapon favored by the Yiga. The half-moon shape of the blade allows for the rapid delivery of fatal wounds and serves as a symbol of their terror. Its durability is low.,,,,,,,,,
Zora Sword,BotW_Zora_Sword_Icon.png?version=db65870b1a4abce13289d05da32ec3ca (https://v5.airtableusercontent.com/v1/18/18/1686708000000/hhi-0t3rQbjZ0TR2QuLvnA/giRewdQfiy8c9I94BB2cJp6DhnALrXn1byz8BQ7-1moy2Wd1FHeSQSUIkkl3SKg3CjBQae7m4mm9wdNI6N1gWfatwOB5ChiaAb-iXw-w4SxR7hxH4pfGK78mgB4HVcD6/ikfOkHF_P1I7y7xiOZlU0ObyP499ZDPqEvAhIC_1JqI),Weapon,Light,,27,15,,,,,,,,,The ornamentation that adorns this blade is a traditional Zora design. It's forged from a very durable and rust-proof metal.,,,,,,,,,
Ancient Battle Axe,BotW_Ancient_Battle_Axe_Icon.png?version=7081c1dd82cb5f0876e945fe7a2a41b1 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/7BCVh5lsG1IRc5COiU3pcA/ORz5Dek6rKz5VuErRv2_9WnhZAB-psWI0gt_Pfz0mTnVB-cYL7s3BDxCgTnOXGMLMoUP_4ExA_Q1HXPRslbYrssHCrNBlCtbqHAGYbvQEgnk1xZ2qV-GFW9NFf5fBKGp/Sj7zMqWA2USnR9Vj0nJldmrecgefsp2XZD2EZN3tRlc),Weapon,Heavy,,15,30,,,,,,,,,"A weapon used by Guardian Scouts. Its unique blade was forged using ancient technology. Although powerful, its unusual shape causes it to break easily.",,,,,,,,,
Ancient Battle Axe+,BotW_Ancient_Battle_Axe%EF%BC%8B_Icon.png?version=cd565f08fb8ba1ecb2a91e33e429d564 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/EJocO-0oKuEsVuevzxTQ4g/sRTgQ_17h6SHTo183hJoS24cDUlz4aeXLxEa4b_1JBztgttUiiHMH1G2Dj4RApX0lu8mUVKBqKRdZ0_429p1P93zZ2Mo-9qtKg68ZIAEh7kRd8p5yk6K-hbw5rM1VYqHzxaV3_OXyYJl4Fa-rWxfqQ/EHQFQtDFiu-HrWyAa2CUgCsEjZXq3HrpMN4KpwSrNMk),Weapon,Heavy,,20,45,,,,,,,,,"This ancient battle axe's damage output has been increased to maximum. It's sharp enough to cut through almost anything, so it may have been used to forge new routes.",,,,,,,,,
Ancient Battle Axe++,BotW_Ancient_Battle_Axe%EF%BC%8B%EF%BC%8B_Icon.png?version=9a0dbdb3a16291d0c9f1a9256564c1ee (https://v5.airtableusercontent.com/v1/18/18/1686708000000/EY7WEfyzruvqncxwWmJcqw/531kyODYrQimc3N0CTylrm44_fD02Umd5z7L8gzjMkJEVfoxuZo1OiScot0XLZgdAaQdK7OcDdxrgQoLiCRQVUSb1_0fs1LmOsWDzfEaXS7TgDroWM60kQVPjgRhTC01vY1FlN1-3Qm44bYs24DCI-eMEnB_O5jdCkAIgDC8tGQ/Ep_aahPgc9jbwV5fxQU4d3W8B9tqVm_WMcG3NkKliEk),Weapon,Heavy,,25,60,,,,,,,,,This ancient battle axe's damage output is scaled up to peak performance. Ancient technology makes it possible to enhance cutting power beyond metal weapons' limits.,,,,,,,,,
Ancient Bladesaw,BotW_Ancient_Bladesaw_Icon.png?version=838f6b62ad17e1b59d9e93b77e7de7c4 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/57O9yxC1qvtvg7Mma1L_Fg/35vhpmeymZKfRomMoY6WYUazGTe9hNuIRLU87MWt4twAPgrED2DOGQ9ZwLAb0Z_plT3Kewh1H60Yu3ZgmUqN_qXJHeIqnPTO2q7aG5ryGzxGbuMDLfySFokIaFozyOdJ/-PzqrgB0iSCV13eJzTLxRJknhAhPFmrr8VxjNqJUOyU),Weapon,Heavy,,50,55,,,,,,,,,This two-handed sword was forged using ancient Sheikah technology. Its unique rotating blades give it impressive cutting power that will slice enemies to shreds.,,,,,,,,,
Biggoron's Sword,BotW_Biggoron%27s_Sword_Icon.png?version=6c3f0e41deb8975d2f08f0edd3a9644a (https://v5.airtableusercontent.com/v1/18/18/1686708000000/xrRG8dxvc6u0mrBP8o7sHQ/KVq3dgZQs0Z0T431CmO_OQuoN38fQ_3hHJlf5xTfHaoyWhtbhSk-0sBlyfAiFZTKKbyusbrN0AsUL7Hv8WVDEoJBq10NOC57iV80LrjYAL4aGEUWAGjcYM-CNGJ_BBvv/xj-JSMe-l76SbpgQ4v0ddkjzKiA52_B9Aar09t_Q-0Y),Weapon,Heavy,,60,50,,,,,,,,,A legendary greatsword forged by a Goron craftsman for a hero who traveled through time. The exceptionally sharp cutting edge is a testament to the craftsman's mastery.,,,,,,,,,
Boat Oar,BotW_Boat_Oar_Icon.png?version=70d39413066ebec332ea787913772c85 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/RfkzF5h29CFVL1qJuZlA0g/m5VEh6BGNpnR1RVZPTQryGuf7bXaMCDz3_So4I5FANHobSUSHM5rKVLywd1pdxmuX1VhWbwCqmTZTtKKLJ4eDcfdngQS1NWbbSRAyzn77Tbm8oHE6clEa7_mRc1tizaJ/qZjCJVPBsAanK6uyjxT9QJZl-Gz_wyK92gauf-P4yhM),Weapon,Heavy,,8,14,,,,,,,,,"Made for paddling boats, but it was made sturdy enough to fight strong currents. Maybe it's useful for self-defense in a pinch.",,,,,,,,,
Boko Bat,BotW_Boko_Bat_Icon.png?version=a6427c6aea8f08ca1898acd77958bc99 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/Ae5TxXrp_Sl0HIcwMasjDQ/QXE7t3D_9BBARGi3LVnUeO1vIrU2iIEjO55W_4UEnyAwuwsmU5p48r9mKerPzfSs2ZzmohsS9iJap9aBaChcuX9WFrXjpHCcpYmk__fzrY3rlRN8KLc3zisjiB-l12ks/mf-eHSi8NgTDX2UycotJQUSNY4rGrutDYuRjMeZ3VMs),Weapon,Heavy,,12,6,,,,,,,,,"A clunky club made by a Bokoblin. If you swing it at an enemy's shield, it may be able to knock the shield out of your foe's hand.",,,,,,,,,
Boulder Breaker,BotW_Boulder_Breaker_Icon.png?version=b8a83f288d3e3987666b3a30f464ad7c (https://v5.airtableusercontent.com/v1/18/18/1686708000000/QgOdp3FuMLBH9apSuHHmqw/wKRlJ71eHyv80RngYiBeUtsQ3N49Fiwcre8xOmriiF7r4wMyzQb6iDl0CpNPQqABj1jJ749YazcyAA7hlEyMZ0jrY9GrJwXFO0ls3R-8tM1M4Nw-DFyTCJbGTphsrz-Y/mOMcMjsCmuAeOOvEnkA-ehNjZT9vgIiJeAa5qt_D5E8),Weapon,Heavy,mining,60,60,,,,,,,,,"This two-handed weapon was once wielded by the Goron Champion Daruk. Daruk made swinging it around look easy, but a Hylian would need an immense amount of strength.",,,,,,,,,
Cobble Crusher,BotW_Cobble_Crusher_Icon.png?version=a057b4e03a4af9ec87c93d88f14d2b6d (https://v5.airtableusercontent.com/v1/18/18/1686708000000/yOfC3vHh46k4esWuNc7TrQ/zL7QmQrTBcpYC6g6ZIHLWHyg0ygP4Fw9Va_El__MPR8vCuwstxfznks0DacB9nRCXDrCWfS3nbTw_gjqnGV5ttf9GsinfSrIRIf0iiU_PPKntM0XASNL623UBRvrWnGm/uvDY4pxiDw7bFFAZ24wOvfqhBYBrejUBziGEtpxbQqU),Weapon,Heavy,mining,30,15,,,,,,,,,"A Goron-made two-handed weapon. It's made from thick, hard metal and has no cutting edge, so it relies on its sheer weight to crush all opponents.",,,,,,,,,
Double Axe,BotW_Double_Axe_Icon.png?version=b54110808a36b1a8350fce8f0bbd9251 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/SEEgpsbR_M8Wa7qDbnAyfw/0LdLkCNa20fz5gx9dS97fdh3vB0zDBrzF2cREk6oO1GYBC-xWoxi1mEuF5w1knBQunbhDcXZc5qoykKIFJhIB4CCIHD5B2684UTWOOB2FoLbDvIeKtSp2cAIlHTaL4Ku/uqYJ_En83ohh3U_hWo_O1eJ2of5rKAssp87dQ0Yk1zo),Weapon,Heavy,,52,18,,,,,,,,,"This double-sided axe was designed with fighting in mind. It's a bit unwieldy, so it requires a well-practiced technique to use efficiently.",,,,,,,,,
Dragonbone Boko Bat,BotW_Dragonbone_Boko_Bat_Icon.png?version=cad4fe2be7f58307ffd138fc496bba23 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/fsjVutkuKgqMiLYI0rizFQ/QqPXtR9raREARhKWxQnhsqG0lgxApl9iQpgh93KIIsy5Ps4nnlWdt_5h9zeDqh0Kyhn4Np8QdcXu8LbjL15zGkn50mFlu39yHaqKwAAA0eEBRXfuv5NXfZ_wxFkPiupW/mXoDjb-y6gCeAP-1Ls46JL07HJmS6SZKIrttpQJOn2c),Weapon,Heavy,,16,36,,,,,,,,,"Used by only the toughest Bokoblin warriors, this Boko bat has been fortified by fossilized bone. It boasts a high durability and is strong enough to beat down powerful foes.",,,,,,,,,
Dragonbone Moblin Club,BotW_Dragonbone_Moblin_Club_Icon.png?version=8956ef6cd15dc6f0ced738321b97651d (https://v5.airtableusercontent.com/v1/18/18/1686708000000/Axxopfo4Dn_VnSv6oazU4Q/wmVdC6PqvQM_dDH4zhfb5EHrwUv5GFHXOwSGQ98FYnGDCYlZ3WIY10vcsU2EqGViTWos9y50U-qjRtvWCn8wB0h3hhYyaQm60DkTo3nEUMZRzBAQ2tzzSbGuwNmIzJWxA5Uv7Dd5bts7lCkCJRFBoQ/0-as2YRDoDjmijx-DiMOmI-stF1dTB1dzU9z3MlQ4UE),Weapon,Heavy,,24,45,,,,,,,,,"The bone of an ancient beast has been affixed to this Moblin club, further increasing its damage. Moblins carrying these in battle are particularly dangerous.",,,,,,,,,
Drillshaft,BotW_Drillshaft_Icon.png?version=3947750c6f4bf14a7fb1da9a0bf9eeb4 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/Sn_zKVaSpFTurLuP_qokfw/foYogtfUFLe62rg4Q48BNZ9OGq7pPFRk5C-1zivFkc9xCr3eOTurpf3Rpebo26Ax7OhncljTvVdmBHIlX_9kda43BMi5kq0jKrZHipq4cfqHNlShQsi6O5i8vUb1tWbE/S9I4Xop7rrSBvDgFCrgoQLBD-GOMsUNAiYx4pjcpJig),Weapon,Heavy,mining,50,14,,,,,,,,,"Goron artisans used recycled metal to forge this weapon. The tip is made from an old excavation bore, which affords it unmatched piercing capabilities.",,,,,,,,,
Edge of Duality,BotW_Edge_of_Duality_Icon.png?version=8a131f77f277c47417363244f04f0ca7 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/7PCgPhdMFPUyY9LWESY3Sw/UpW4jEU5BJGgSzeNVrDAXtnaXcHtOSc9DWYpNza0d0KrAeEDOFjefjsxeyemS8exZ6f0p8lgF_bov2j7dLtoPttHkLA8iwmdzcUOx5z038AHlLmLwR1X6Rdo9SZMzq2m/RXyD3sFAfF4xy0mM1_SZHvpzIzU6w4MjnFlSkABInGw),Weapon,Heavy,,35,50,,,,,,,,,A curious double-edged sword crafted using Sheikah technology. It was originally made for Hyrulean knights unfamiliar with single-edged blades.,,,,,,,,,
Eightfold Longblade,BotW_Eightfold_Longblade_Icon.png?version=2701ef5979693f5b26846775f38f47ea (https://v5.airtableusercontent.com/v1/18/18/1686708000000/bMvwTudOY0b8VTS1yQ6fug/jyzhjBczZ5yE5WkkR3ctzlZWhRRUV6QrutWbVZY9efJn2OYc6lit315v-gcBHzPyhv3Mam33zvO_w_RGzMEL81c9w8e0f-lorcd2XCyZSAfckFEjuVfD9fjhsXH4M3QX/jumYwp-fckZh-7flTulQ84sK3Zp4Y1d_pwIl62m0tGY),Weapon,Heavy,,25,32,,,,,,,,,A single-edged sword seldom seen in Hyrule. This weapon is passed down through the Sheikah tribe and has an astonishingly sharp edge ideal for slicing.,,,,,,,,,
Farming Hoe,BotW_Farming_Hoe_Icon.png?version=8455d536e783d54c7a273802a8589a50 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/ZeGYCLyH1o6eCjWtLUCYgA/iL0zwXkbbdrGDA_4b_ii6eidY_6TrJDwwy5FW4DDCOyBbXm3FrphoT45QGZd52a_Ada3TvjiX2TlOezT3WX6dEzUXlY3RgFfkZN1ilQK1ec90e43o0aEz184oSi0E4Ci/kh0SQOwWwxi0SMcujdcYkH_XbHKuQjOtkAI_QZcXDDM),Weapon,Heavy,,6,16,,,,,,,,,"A farming tool primarily used for tilling fields. Its fine craftsmanship is sturdy enough to withstand backbreaking fieldwork, but its battle applications are untested.",,,,,,,,,
Feathered Edge,BotW_Feathered_Edge_Icon.png?version=7a58db03b9480f0e011738c1cbb12880 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/EQpayNAapzJ5qsCicjX7rg/dVR7KzLElqINs1mCMPDn32ZluHbU6GwvU8ybAnRYXyuMmLR02BoiSSXfJf7fm0wjq7YWfMOFb7YEU3EZRUpyFVEj5G3qvMqAFQFlEHy40bJiEEsSnAsTZuamLEaTgBmS/TIS_73PpdWB1RN4XRGFlcHnU-77geY27yd0QU1TXRx8),Weapon,Heavy,,27,15,,,,,,,,,"Rito craftsmen forged this lightweight, double-edge sword so Rito warriors could soar into battle unhindered by its weight.",,,,,,,,,
Fierce Deity Sword,BotW_Fierce_Deity_Sword_Icon.png?version=36f8d0c662394959b82b9912eb99cad3 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/pmbj1Y6A5TUpdufvZrscuA/RscP9lma06nbUNFvpve-qoNaVceAMmvniloVPTGBp8yAeOkbZkRYqVqzggMB4bvCoakiXedD-FLCt-eHHs92724nF6cI2hnhFMwWypLfMwwxcwSyRore84DinKsdfwLe/7rFslne_jJi5-6lgmqHWvT_5AOCeyOLbjBf-dDujW9A),Weapon,Heavy,,35,60,,,,,,,,,A peculiar greatsword allegedly used by a hero from a world in which the moon threatened to fall. It slashes wildly in battle as if possessed by a fierce deity.,,,,,,,,,
Giant Boomerang,BotW_Giant_Boomerang_Icon.png?version=a621efd89944171f0cf81dff4cb91b94 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/PTaLamo9hOz9eoczCK5-Sg/5Juk7hZg3f-lrKwwGiZklj3ad_3LFa7I17KcHJCUJ3-YyPJ-9Ygc4WOVY_6Uke8Jw6kaDdr7WqqRyRoxP0YvkVd1QuQ0B20LERnaEmAaYs9D6fVnjTVaolXlBvT3v5DZ/3UaCJBtMBW_eVBsJj4JuqENBrJHpiqUV60Eh1HYgoMM),Weapon,Heavy,,40,25,,,,,,,,,"This massive boomerang requires two hands. Originally used for hunting, it was modified for use as a weapon. The blades on the inner curves make it a bit tricky to wield.",,,,,,,,,
Golden Claymore,BotW_Golden_Claymore_Icon.png?version=2c382e3ad5d9adb020500dff75bc3d1a (https://v5.airtableusercontent.com/v1/18/18/1686708000000/cb2uX6m_edm7PcSirVVQ-A/O4d8783n_LQ6j8_v8I9jmT4yUaZu4Mkk-EgobdrPTgeWA1l1Ww6CekyjJmmUx1GfBDH0OnJx_3f9vRB0YltylD9JqWNj7ApemcMyWDnowE4vLumkXq5d4NTA1zuxKM61/MxcX7bgAupzZKuPD1tkUuY9vQSSaSZRvAL6IKYuL8zI),Weapon,Heavy,,30,28,,,,,,,,,Only the most talented Gerudo sword fighters carry this two-handed sword. It's actually much lighter than it appears and is surprisingly easy to wield.,,,,,,,,,
Great Flameblade,BotW_Great_Flameblade_Icon.png?version=24916f4bc1ebe7ac467d7ae7d0d35546 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/Vaol-9pbj0qW6yhiVaY7Ng/4bes_fGZRhtfV1_QL8JoJFWtR_6q-OFQKYSCjpVFBoZmQ-W-4g5clCz-ljgfn1AM6UXKdx7V66M3wACunplqT-iYVsMbB5T7OZiNXvJW67bv2LzC3HlilbdJNEosuDaX/Y-HzBE7KVlBBkGGIGu89WaTBKmApQs64xC1nSy5EJWE),Weapon,Heavy,,50,34,,,,,,,,,This magic-infused greatsword was forged in the fires of Death Mountain by Goron smiths in an ancient age. Attack when the blade glows red to expel flames.,,,,,,,,,
Great Frostblade,BotW_Great_Frostblade_Icon.png?version=b442c892861fdc19d69393716059faa5 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/YxlSDTD8nwAiE9-q4f7iMQ/iwHma5zUNMI4f66ugYKmP0fAH3ROLTAzatEjtxH6czBgtu4ZfFTtbV5c2ymogzjDwWukC_7Zvz8How8jeAO-oHhHgMMYPRRliYilKqGBDw0DvdvhmfeENbrVUlt_Mndt/TaylwPcad99UsmI1SXYVNPc7KxqisPF3IYxd16Dy3cc),Weapon,Heavy,,40,30,,,,,,,,,This magic-infused greatsword was forged by smelting ore found in the Hebra Mountains' permafrost. Attack when the blade glows blue to expel freezing air.,,,,,,,,,
Great Thunderblade,BotW_Great_Thunderblade_Icon.png?version=aea74ebd9118e5e94e447ef981ec8cbf (https://v5.airtableusercontent.com/v1/18/18/1686708000000/JvDP07RomWv261me_-Lvyw/nUMS96orsFK61pCgV1p-vgnurGpqA5imGutbnurAcmIg1pStQWyvIOOWGGvsCuJJOA71qjPxpPW6VV3h6Z09RZF_qJmpxWLcRRcnbTf09Jrf_wAMC1cH1r22L_vs0Fs_/hGkgioDsG_lkt5MijL6MkmwNC1ScoOwPHlcgU5rHteU),Weapon,Heavy,,50,32,,,,,,,,,This magic-infused greatsword was forged by the Hyrulean royal family using lightning from the Hyrule Hills. Attack when the blade glows golden to expel lightning.,,,,,,,,,
Iron Sledgehammer,BotW_Iron_Sledgehammer_Icon.png?version=1b38d0b312bf86219349f9301e07caa1 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/RNxUb4KRFQqih1cYgXDpvw/FK6UWjfhn9OaJREnVOo3Gj4ZzkAN_doCVQdzTeR19ECeCWSJoEispUy3q4wFqZNEbc0cZUUaNwcPTDpSc5VGXwgUGSQR3IglbKPc_RNIRBySflYWSipXx43doNBdoYxg/Y04ORvSQAiDs8mROldPrMHBRKwd2K45_LTPV2ydJTtk),Weapon,Heavy,mining,40,12,,,,,,,,,"This large iron sledgehammer was originally used for mining, but it works reasonably well as a weapon too.",,,,,,,,,
Knight's Claymore,BotW_Knight%27s_Claymore_Icon.png?version=67b129becf92319af1ee5825eca64dce (https://v5.airtableusercontent.com/v1/18/18/1686708000000/X4ne0JD-6yd32vxL8JQ9tg/PAuS_p610n-a7GTtOkn5UoMR-lWwkMhvZ9MTaSynL74AxMeBhNWjiA9JbciSTuzUL0zxGdwx59QJGChY0zQl2pjSznwZ7O3KtFjbtU1Baz2FKiXK1NE2IM4sIitbE3Nm/0yiKunS6M_pUX8U3XOyCK0D8XRTELA6zok_M4s919w4),Weapon,Heavy,,30,38,,,,,,,,,Only the most confident of Hyrule Castle's knights carried this two-handed sword. Its cutting edge is finely honed.,,,,,,,,,
Korok Leaf,BotW_Korok_Leaf_Icon.png?version=238ab4ee906b09fbd9272278dad0fa18 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/RZ2z_wwIPhqaIniepiEwWw/ATIeKkQtkl9_dnJlFl7eYraVlXW7215lR5skTRcyRomxZaJz2GXx0Opc-vZ0ZTDv-xqCY5VVzt8d3eiLT6dOy-nj3iOV1Dxe_5flkOlDpTR8D_ksVJmnIiu2OQsuXuBD/9EZLqfKDCGu7R1A6STZdwp2bIt5ziex8ZPlIFwYoCLg),Weapon,Heavy,,25,1,,,,,,,,,"A single swing of this giant, sturdy leaf can create a gust of wind strong enough to blow away light objects.",,,,,,,,,
Lynel Crusher,BotW_Lynel_Crusher_Icon.png?version=eb7705e144840920c38c7dba87d43259 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/HbUVuzN0Y06W7XcjkxJbYA/xU4Y4TCUHYlBfU8CCdDPaWeqD92j_9xuW8rqp2ViaMa1aUZ5u2NuJxywmQsP6OfwVqacWJae2dfnYTUsZHkCUYyX72AEhBm0SJzkK6kWESegeAZFsqkRNLPQDttr7x3r/lQ5QClvSf_Pi6jk-io88KBSgKiZAFf_xpq1gMY_2Ldk),Weapon,Heavy,,20,36,,,,,,,,,"This two-handed weapon is favored by the Lynels. It may be more accurate to call it a lump of metal than a weapon, but if wielded by a Lynel, it can pound you into a fine dust.",,,,,,,,,
Mighty Lynel Crusher,BotW_Mighty_Lynel_Crusher_Icon.png?version=9af080d86a43606dfbaaba822244a829 (https://v5.airtableusercontent.com/v1/18/18/1686708000000/xkY0IDCuKLm9KX8RiLu6Qg/YvE-02bcKJpiIVVX0F3zP8COtiiWu8vl-2nrjE58Os1uu-cDdmQYBqH67JI00tCTuKbWML-U6DVbtad2VWIjf-_cDWpm-7qFsz-dhBCvO4rwkMkyHbkV4pSohkenD8n5p2ITDPAIqBizKKD3NwDNcA/NQM3tubNL5VwYwVu3zgXcYp1FG0M735wtvYmuXDTlOE),Weapon,Heavy,,25,54,,,,,,,,,"This Lynel-made two-handed weapon has been reinforced to increase its durability and striking power. Its overwhelming heft will crush your foe, shield and all.",,,,,,,,,
